Customer ID,Country,Total_sales,Frequency,LastInvoiceDate,Reference_date,Recency
12395.0,Belgium,2682.63,12,2011-11-08 16:15:00,2011-12-10 12:50:00,31
12415.0,Australia,124564.53,20,2011-01-06 11:12:00,2011-12-10 12:50:00,338
12431.0,Australia,6314.95,15,2011-10-06 09:32:00,2011-12-10 12:50:00,65
12437.0,France,4447.41,18,2011-12-08 11:35:00,2011-12-10 12:50:00,2
12471.0,Germany,17388.649999999998,27,2011-07-07 12:40:00,2011-12-10 12:50:00,156
12474.0,Germany,6694.09,18,2011-03-28 14:07:00,2011-12-10 12:50:00,256
12540.0,Spain,11580.24,17,2011-09-08 13:38:00,2011-12-10 12:50:00,92
12569.0,Germany,3152.69,32,2011-08-09 10:05:00,2011-12-10 12:50:00,123
12583.0,France,6705.38,15,2011-07-08 12:22:00,2011-12-10 12:50:00,155
12621.0,Germany,12411.67,20,2011-05-09 11:34:00,2011-12-10 12:50:00,215
12647.0,Germany,3146.82,12,2011-04-08 12:30:00,2011-12-10 12:50:00,246
12681.0,France,12365.54,22,2011-11-09 09:34:00,2011-12-10 12:50:00,31
12682.0,France,11019.82,31,2010-12-09 14:49:00,2011-12-10 12:50:00,365
12683.0,France,7612.57,14,2010-12-09 12:17:00,2011-12-10 12:50:00,366
12709.0,Germany,9400.52,15,2010-12-08 09:49:00,2011-12-10 12:50:00,367
12712.0,Germany,3928.13,13,2010-12-09 11:39:00,2011-12-10 12:50:00,366
12720.0,Germany,5115.7300000000005,25,2011-02-09 10:41:00,2011-12-10 12:50:00,304
12731.0,France,18751.91,12,2011-03-31 10:29:00,2011-12-10 12:50:00,254
12748.0,United Kingdom,31650.78,206,2011-09-09 13:20:00,2011-12-10 12:50:00,91
12839.0,United Kingdom,5591.42,14,2011-06-09 14:43:00,2011-12-10 12:50:00,183
12841.0,United Kingdom,3991.58,25,2011-03-07 15:02:00,2011-12-10 12:50:00,277
12877.0,United Kingdom,1535.77,12,2011-08-07 11:40:00,2011-12-10 12:50:00,125
12901.0,United Kingdom,17654.54,28,2011-06-08 12:57:00,2011-12-10 12:50:00,184
12921.0,United Kingdom,16587.09,37,2011-11-09 09:50:00,2011-12-10 12:50:00,31
12931.0,United Kingdom,42055.96,15,2011-11-09 13:56:00,2011-12-10 12:50:00,30
12971.0,United Kingdom,11189.91,86,2011-03-09 11:27:00,2011-12-10 12:50:00,276
12989.0,United Kingdom,6924.110000000001,15,2011-12-06 15:28:00,2011-12-10 12:50:00,3
13001.0,United Kingdom,9785.97,13,2011-06-08 12:40:00,2011-12-10 12:50:00,185
13004.0,United Kingdom,5655.91,18,2011-06-09 09:16:00,2011-12-10 12:50:00,184
13013.0,United Kingdom,4810.9400000000005,13,2011-09-08 11:46:00,2011-12-10 12:50:00,93
13018.0,United Kingdom,7277.7,28,2011-08-09 13:22:00,2011-12-10 12:50:00,122
13050.0,United Kingdom,5833.11,17,2011-02-08 15:24:00,2011-12-10 12:50:00,304
13069.0,United Kingdom,4431.44,24,2011-12-09 08:39:00,2011-12-10 12:50:00,1
