Customer ID,Country,Total_sales,Frequency,LastInvoiceDate,Reference_date,Recency
12346.0,United Kingdom,77183.6,1,2011-01-18 10:01:00,2011-12-10 12:50:00,326
12347.0,Iceland,4310.0,7,2011-06-09 13:01:00,2011-12-10 12:50:00,183
12348.0,Finland,1437.24,4,2011-04-05 10:47:00,2011-12-10 12:50:00,249
12349.0,Italy,1457.55,1,2011-11-21 09:51:00,2011-12-10 12:50:00,19
12350.0,Norway,294.4,1,2011-02-02 16:01:00,2011-12-10 12:50:00,310
12352.0,Norway,1385.74,7,2011-11-03 14:37:00,2011-12-10 12:50:00,36
12353.0,Bahrain,89.0,1,2011-05-19 17:47:00,2011-12-10 12:50:00,204
12354.0,Spain,1079.4,1,2011-04-21 13:11:00,2011-12-10 12:50:00,232
12355.0,Bahrain,459.4,1,2011-05-09 13:49:00,2011-12-10 12:50:00,214
12356.0,Portugal,2487.43,3,2011-04-08 12:33:00,2011-12-10 12:50:00,246
12357.0,Switzerland,6207.67,1,2011-11-06 16:07:00,2011-12-10 12:50:00,33
12358.0,Austria,928.0600000000001,2,2011-12-08 10:26:00,2011-12-10 12:50:00,2
12359.0,Cyprus,6310.03,4,2011-02-07 14:51:00,2011-12-10 12:50:00,305
12360.0,Austria,2302.06,3,2011-05-23 09:43:00,2011-12-10 12:50:00,201
12361.0,Belgium,174.9,1,2011-02-25 13:51:00,2011-12-10 12:50:00,287
12362.0,Belgium,4737.23,10,2011-07-07 12:32:00,2011-12-10 12:50:00,156
12363.0,Unspecified,552.0,2,2011-08-22 10:18:00,2011-12-10 12:50:00,110
12364.0,Belgium,1208.1,4,2011-10-30 15:43:00,2011-12-10 12:50:00,40
12365.0,Cyprus,320.69,1,2011-02-21 13:51:00,2011-12-10 12:50:00,291
12367.0,Denmark,150.9,1,2011-12-05 16:48:00,2011-12-10 12:50:00,4
12370.0,Cyprus,3421.94,4,2011-10-19 14:51:00,2011-12-10 12:50:00,51
12371.0,Switzerland,1527.96,1,2011-10-11 10:43:00,2011-12-10 12:50:00,60
12372.0,Denmark,1196.04,3,2011-09-29 12:12:00,2011-12-10 12:50:00,72
12373.0,Austria,324.6,1,2011-02-01 13:10:00,2011-12-10 12:50:00,311
12374.0,Austria,622.93,1,2011-11-14 15:37:00,2011-12-10 12:50:00,25
12375.0,Finland,377.5,2,2011-11-29 10:36:00,2011-12-10 12:50:00,11
12377.0,Switzerland,1548.12,2,2011-01-28 15:45:00,2011-12-10 12:50:00,315
12378.0,Switzerland,4008.62,1,2011-08-02 10:34:00,2011-12-10 12:50:00,130
12379.0,Belgium,777.24,2,2011-06-22 16:32:00,2011-12-10 12:50:00,170
12380.0,Belgium,2427.81,4,2011-06-07 09:49:00,2011-12-10 12:50:00,186
12381.0,Norway,1474.81,3,2011-11-06 13:36:00,2011-12-10 12:50:00,33
12383.0,Belgium,1628.56,5,2011-06-08 08:02:00,2011-12-10 12:50:00,185
12384.0,Switzerland,425.27000000000004,2,2011-11-11 08:39:00,2011-12-10 12:50:00,29
12386.0,Australia,401.9,2,2010-12-08 09:53:00,2011-12-10 12:50:00,367
12388.0,Australia,2780.66,6,2011-03-09 15:47:00,2011-12-10 12:50:00,275
12390.0,Belgium,504.84000000000003,1,2011-09-21 09:33:00,2011-12-10 12:50:00,80
12391.0,Cyprus,439.66,1,2011-11-18 12:07:00,2011-12-10 12:50:00,22
12393.0,Australia,1582.6000000000001,4,2011-04-08 09:45:00,2011-12-10 12:50:00,246
12394.0,Belgium,1080.48,2,2011-10-07 08:08:00,2011-12-10 12:50:00,64
12395.0,Belgium,2682.63,12,2011-11-08 16:15:00,2011-12-10 12:50:00,31
12397.0,Belgium,2214.9,2,2011-11-04 09:52:00,2011-12-10 12:50:00,36
12398.0,Switzerland,1435.66,1,2011-10-25 10:27:00,2011-12-10 12:50:00,46
12399.0,Belgium,1033.65,4,2011-06-09 13:09:00,2011-12-10 12:50:00,183
12401.0,Belgium,69.3,1,2011-02-09 13:50:00,2011-12-10 12:50:00,303
12402.0,Belgium,195.6,1,2011-01-20 13:49:00,2011-12-10 12:50:00,323
12403.0,Denmark,391.7,1,2011-10-21 10:51:00,2011-12-10 12:50:00,50
12405.0,Finland,1390.39,1,2011-07-14 08:52:00,2011-12-10 12:50:00,149
12406.0,Denmark,3415.3,2,2011-06-09 10:23:00,2011-12-10 12:50:00,184
12407.0,Belgium,1507.1200000000001,5,2011-07-06 09:49:00,2011-12-10 12:50:00,157
12408.0,Belgium,2618.55,5,2011-11-07 12:27:00,2011-12-10 12:50:00,33
12409.0,Switzerland,11072.67,3,2011-09-22 10:38:00,2011-12-10 12:50:00,79
12410.0,Switzerland,533.33,2,2011-02-04 10:39:00,2011-12-10 12:50:00,309
12412.0,Denmark,1142.88,3,2011-09-26 10:16:00,2011-12-10 12:50:00,75
12413.0,France,686.1,3,2011-01-06 16:12:00,2011-12-10 12:50:00,337
12414.0,Austria,442.41,3,2011-05-06 14:51:00,2011-12-10 12:50:00,217
12415.0,Australia,124564.53,20,2011-01-06 11:12:00,2011-12-10 12:50:00,338
12417.0,Belgium,3226.1,9,2011-12-06 14:52:00,2011-12-10 12:50:00,3
12418.0,Switzerland,668.58,1,2011-08-19 11:08:00,2011-12-10 12:50:00,113
12420.0,Cyprus,600.39,1,2011-10-07 08:55:00,2011-12-10 12:50:00,64
12421.0,Spain,639.04,4,2011-11-24 09:07:00,2011-12-10 12:50:00,16
12422.0,Australia,683.5600000000001,3,2011-09-05 09:48:00,2011-12-10 12:50:00,96
12423.0,Belgium,1634.31,8,2011-12-09 10:10:00,2011-12-10 12:50:00,1
12424.0,Australia,1760.96,2,2011-06-30 12:06:00,2011-12-10 12:50:00,163
12425.0,Portugal,777.2,1,2011-09-22 17:31:00,2011-12-10 12:50:00,78
12426.0,Germany,510.73,1,2011-05-29 12:26:00,2011-12-10 12:50:00,195
12427.0,Germany,699.8,3,2010-12-03 10:44:00,2011-12-10 12:50:00,372
12428.0,Finland,6405.26,8,2011-07-05 12:23:00,2011-12-10 12:50:00,158
12429.0,Denmark,3388.4,4,2010-12-09 12:05:00,2011-12-10 12:50:00,366
12430.0,Norway,216.4,1,2011-10-27 15:09:00,2011-12-10 12:50:00,43
12431.0,Australia,6314.95,15,2011-10-06 09:32:00,2011-12-10 12:50:00,65
12432.0,Norway,4359.32,4,2011-10-28 11:43:00,2011-12-10 12:50:00,43
12433.0,Norway,13375.87,7,2011-09-09 13:44:00,2011-12-10 12:50:00,91
12434.0,Australia,806.14,2,2011-03-24 13:05:00,2011-12-10 12:50:00,260
12435.0,Denmark,7829.89,2,2011-09-21 09:06:00,2011-12-10 12:50:00,80
12436.0,Norway,429.01000000000005,1,2011-09-01 12:09:00,2011-12-10 12:50:00,100
12437.0,France,4447.41,18,2011-12-08 11:35:00,2011-12-10 12:50:00,2
12438.0,Norway,2466.85,2,2011-11-25 13:28:00,2011-12-10 12:50:00,14
12441.0,France,155.55,1,2010-12-08 10:45:00,2011-12-10 12:50:00,367
12442.0,Spain,144.06,1,2011-12-06 14:22:00,2011-12-10 12:50:00,3
12444.0,Norway,4085.46,5,2011-06-21 14:00:00,2011-12-10 12:50:00,171
12445.0,Spain,77.4,1,2011-11-17 18:43:00,2011-12-10 12:50:00,22
12446.0,RSA,1002.3100000000001,1,2011-10-13 12:50:00,2011-12-10 12:50:00,58
12447.0,Belgium,431.49,1,2011-04-10 13:25:00,2011-12-10 12:50:00,243
12448.0,Spain,365.45,1,2011-10-26 13:46:00,2011-12-10 12:50:00,44
12449.0,Belgium,3596.29,4,2011-09-09 09:13:00,2011-12-10 12:50:00,92
12450.0,Spain,197.88,2,2011-07-06 14:41:00,2011-12-10 12:50:00,156
12451.0,Switzerland,8995.52,5,2011-05-05 17:34:00,2011-12-10 12:50:00,218
12452.0,Switzerland,348.57,1,2011-11-23 08:05:00,2011-12-10 12:50:00,17
12453.0,Austria,707.09,1,2011-07-28 14:08:00,2011-12-10 12:50:00,134
12454.0,Spain,3528.34,1,2011-10-14 17:13:00,2011-12-10 12:50:00,56
12455.0,Cyprus,2339.86,5,2011-07-06 13:18:00,2011-12-10 12:50:00,156
12456.0,Switzerland,2581.04,3,2011-07-31 15:25:00,2011-12-10 12:50:00,131
12457.0,Switzerland,2043.23,6,2011-10-04 13:13:00,2011-12-10 12:50:00,66
12458.0,Switzerland,787.4,2,2011-09-29 15:25:00,2011-12-10 12:50:00,71
12461.0,Switzerland,626.88,1,2011-07-08 10:23:00,2011-12-10 12:50:00,155
12462.0,Spain,937.59,2,2011-02-09 14:44:00,2011-12-10 12:50:00,303
12463.0,Belgium,1200.78,4,2011-06-17 14:28:00,2011-12-10 12:50:00,175
12464.0,Belgium,957.05,8,2011-02-03 13:30:00,2011-12-10 12:50:00,309
